tweet_id,retweeter,tweeter
7.45885E+17,Alexicon83,theordinaryman2
7.45885E+17,Alexicon83,theordinaryman2
7.45885E+17,Alexicon83,hpfgaz
7.45885E+17,Alexicon83,williamdbatesuk
7.45885E+17,Alexicon83,theordinaryman2
7.45885E+17,StrongerInPress,EmmaReynoldsMP
7.45885E+17,HonourCovenant,HonourCovenant
7.45885E+17,Alexicon83,BritsLovePolls
7.45885E+17,Patriotic_Brit,theordinaryman2
7.45885E+17,Alexicon83,theordinaryman2
7.45886E+17,Alexicon83,Roselady64
7.45886E+17,LouiseMensch,GarthGodsman
7.45886E+17,TelePolitics,Telegraph
7.45886E+17,JuliaHB1,JuliaHB1
7.45886E+17,HonourCovenant,HonourCovenant
7.45886E+17,HonourCovenant,HonourCovenant
7.45886E+17,LouiseMensch,Nezzy_Lives
7.45886E+17,StrongerIn,lucianaberger
7.45887E+17,PlayBuddMansion,7angels7ashes
7.45887E+17,rowbar,MWilcoxson
7.45887E+17,Alexicon83,xmoyrax
7.45887E+17,Alexicon83,Leehint040598
7.45887E+17,rowbar,marcuselliott
7.45887E+17,DickGraceless,suey2y
7.45887E+17,vote_leave,cmackinlay
7.45887E+17,Patriotic_Brit,paulajc1969
7.45887E+17,StrongerInPress,StrongerIn
7.45887E+17,vote_leave,mkpdavies
7.45887E+17,vote_leave,jameskirkup
7.45888E+17,Alexicon83,Barkum68
7.45888E+17,Alexicon83,asadshan
7.45888E+17,vote_leave,ryanhenson87
7.45889E+17,NadineDorriesMP,LouiseMensch
7.45889E+17,LouiseMensch,top1percentile
7.45889E+17,Alexicon83,gorebloodpuke
7.45889E+17,Patriotic_Brit,lucid_dementia
7.45889E+17,Australiaunwra6,WASPMANTEA
7.45889E+17,vote_leave,NadineDorriesMP
7.45889E+17,StrongerInPress,ChukaUmunna
7.45889E+17,StrongerInPress,ben4bath
7.45889E+17,Alexicon83,Nick_LCFCfan
7.45889E+17,Alexicon83,theordinaryman2
7.4589E+17,Alexicon83,ruraloutback
7.4589E+17,vote_leave,JamesBennewith
7.4589E+17,Alexicon83,theordinaryman2
7.4589E+17,vote_leave,Glenn_Williams1
7.4589E+17,Alexicon83,HOCMack
7.4589E+17,Australiaunwra6,cut_the_crap_ec
